    INT     ,    INT     ,    FLOAT     ,    FLOAT     ,     FLOAT     ,      FLOAT      ,              FLOAT              ,     FLOAT     ,    FLOAT     ,        FLOAT         ,              FLOAT              ,     FLOAT     ,    FLOAT     ,        FLOAT         ,    FLOAT     ,    FLOAT     ,      FLOAT       ,      FLOAT       ,     FLOAT     ,     FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,      FLOAT       ,      FLOAT       , BOOL  , BOOL ,     BOOL      ,        INT        ,     INT      ,        INT        ,     INT      , INT  
     -      ,     -      ,     Msol     ,     Msol     ,      AU       ,        -        ,                -                ,       -       ,      -       ,          -           ,                -                ,       -       ,      -       ,          -           ,    yr^-1     ,    yr^-1     ,      kms^-1      ,      kms^-1      ,    kms^-1     ,    kms^-1     ,      -       ,      -       ,      -       ,        -         ,        -         , State ,Event ,     Event     ,         -         ,      -       ,         -         ,      -       ,  -   
     ID     ,    SEED    , Mass@ZAMS_1  , Mass@ZAMS_2  ,Separation@ZAMS,Eccentricity@ZAMS,SN_Kick_Magnitude_Random_Number_1,SN_Kick_Theta_1,SN_Kick_Phi_1 ,SN_Kick_Mean_Anomaly_1,SN_Kick_Magnitude_Random_Number_2,SN_Kick_Theta_2,SN_Kick_Phi_2 ,SN_Kick_Mean_Anomaly_2, Omega@ZAMS_1 , Omega@ZAMS_2 ,Sigma_Kick_CCSN_NS,Sigma_Kick_CCSN_BH,Sigma_Kick_ECSN,Sigma_Kick_USSN,LBV_Multiplier,WR_Multiplier ,   CE_Alpha   ,Metallicity@ZAMS_1,Metallicity@ZAMS_2,Unbound,Merger,Merger_At_Birth,Stellar_Type@ZAMS_1,Stellar_Type_1,Stellar_Type@ZAMS_2,Stellar_Type_2,Error 
      236964,  4079225146,  7.235432e+00,  4.950410e+00,   3.651337e-02,     0.000000e+00,                     7.891833e-01,   2.356186e-01,  5.267564e-01,          3.312280e+00,                     7.891522e-01,  -6.407623e-01,  3.675189e+00,          4.750875e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,1,1,0,                  1,            15,                  1,             1,    46
      391255,  4079225147,  8.397905e+00,  3.152661e+00,   3.598445e-01,     0.000000e+00,                     7.491571e-01,  -4.919711e-01,  1.115858e+00,          2.876311e+00,                     6.551709e-01,  -2.454903e-01,  4.905268e+00,          4.029767e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,0,0,0,                  1,            11,                  1,            11,    46
      400268,  4079225148,  6.962592e+00,  4.650819e+00,   1.372493e+00,     0.000000e+00,                     4.711628e-01,   1.592885e-01,  4.069535e+00,          2.665779e+00,                     3.028351e-01,  -6.692980e-02,  4.529736e+00,          1.214423e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,1,1,0,                  1,            10,                  1,            15,    46
      402681,  4079225149,  1.350661e+01,  9.574572e+00,   2.235906e+00,     0.000000e+00,                     3.658316e-03,  -4.203527e-01,  1.935119e+00,          3.072729e+00,                     2.014046e-01,  -4.380563e-01,  1.401626e+00,          4.756998e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,1,1,0,                  1,             7,                  1,            15,    46
      404934,  4079225150,  5.876569e+00,  4.950523e+00,   1.627254e+01,     0.000000e+00,                     2.516295e-01,  -1.121851e+00,  4.238619e-01,          9.823691e-01,                     9.264154e-01,   3.224290e-01,  2.435044e+00,          5.564157e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,1,1,0,                  1,            11,                  1,            15,    46
      412623,  4079225151,  1.071293e+01,  4.851408e+00,   1.495351e+00,     0.000000e+00,                     5.086264e-01,   1.770352e-01,  1.498436e+00,          4.202337e+00,                     3.215909e-01,   3.769604e-01,  4.491947e+00,          5.251936e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,1,0,0,                  1,            13,                  1,             1,    46
      416884,  4079225152,  5.296749e+00,  2.685447e+00,   8.379559e+00,     0.000000e+00,                     4.669379e-01,   1.129142e-01,  5.382190e+00,          5.764322e+00,                     3.410932e-01,  -9.453778e-01,  2.793971e+00,          1.790227e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,1,1,0,                  1,            11,                  1,            15,    46
      424089,  4079225153,  1.265486e+01,  6.030292e+00,   4.870884e+01,     0.000000e+00,                     8.472827e-01,   1.228460e-03,  1.622014e+00,          1.940030e+00,                     1.947983e-01,  -1.371307e-01,  4.191064e+00,          3.405479e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,1,0,0,                  1,            13,                  1,             1,    46
      431538,  4079225154,  5.425898e+00,  4.078499e+00,   4.175067e+00,     0.000000e+00,                     8.739644e-01,   2.212047e-01,  5.517390e+00,          9.574627e-02,                     3.251366e-01,   6.302213e-01,  3.324669e-01,          5.358160e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,1,1,0,                  1,             9,                  1,            15,    46
      437287,  4079225155,  5.979397e+00,  1.857819e+00,   3.543850e+01,     0.000000e+00,                     3.342032e-01,  -4.598194e-01,  2.980883e+00,          3.820586e+00,                     2.263279e-01,  -1.262454e+00,  3.593073e+00,          1.521079e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,1,1,0,                  1,            11,                  1,            15,    46
      444804,  4079225156,  6.793144e+00,  1.399651e+00,   1.844316e+01,     0.000000e+00,                     9.962804e-02,  -1.539968e-01,  5.986201e+00,          2.636164e+00,                     6.247923e-01,   1.285601e-01,  3.118469e+00,          2.417609e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,1,1,0,                  1,            12,                  1,            15,    46
      452405,  4079225157,  1.126369e+01,  9.957303e+00,   2.894802e+00,     0.000000e+00,                     6.901370e-01,   8.022423e-01,  6.182246e+00,          1.191682e+00,                     8.288056e-01,   5.016506e-01,  3.543305e+00,          4.761444e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,1,1,0,                  1,             7,                  1,            15,    46
      455674,  4079225158,  7.157278e+00,  4.140784e+00,   1.140632e-01,     0.000000e+00,                     7.542068e-02,  -4.777909e-01,  2.733782e+00,          5.527467e+00,                     6.849264e-01,   3.990208e-02,  3.166275e+00,          8.091242e-01,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,0,0,0,                  1,            11,                  1,            10,    46
