    INT     ,    INT     ,        FLOAT         ,         FLOAT          ,       FLOAT        ,     FLOAT     ,      FLOAT      ,       FLOAT        ,     FLOAT      ,    FLOAT     ,   INT    , BOOL  ,     FLOAT      ,    FLOAT     ,      FLOAT       ,    FLOAT     ,       BOOL        ,      INT      ,      INT      ,        INT         ,        INT         ,     FLOAT     ,      FLOAT       ,     FLOAT      ,     FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,      FLOAT      ,      BOOL      ,      BOOL      ,   BOOL   
     -      ,     -      ,        kms^-1        ,         kms^-1         ,         -          ,    kms^-1     ,        -        ,         -          ,       -        ,      -       ,    -     , State ,      Msol      ,     Msol     ,       Msol       ,     Msol     ,       Event       ,       -       ,     State     ,         -          ,         -          ,     Msol      ,       Msol       ,      Myr       ,       -       ,      -       ,     Rsol     ,     Rsol     ,     kms^-1      ,     State      ,     State      ,  Event   
     ID     ,    SEED    ,Drawn_Kick_Velocity_SN,Applied_Kick_Velocity_SN,Fallback_Fraction_SN,Orb_Velocity<SN,Kick_Velocity(uK),True_Anomaly(psi)_SN,SN_Kick_Theta_SN,SN_Kick_Phi_SN,SN_Type_SN,Unbound,Mass_Total@CO_SN,   Mass_CP    ,Mass_CO_Core@CO_SN,   Mass_SN    ,Experienced_RLOF_SN,Stellar_Type_SN,Supernova_State,Stellar_Type_Prev_SN,Stellar_Type_Prev_CP,Mass_Core@CO_SN,Mass_He_Core@CO_SN,      Time      ,Eccentricity<SN, Eccentricity ,Separation<SN ,  Separation  ,Systemic_Velocity,Hydrogen_Rich_SN,Hydrogen_Poor_SN,Runaway_CP
     1852531,  4079225195,          3.858622e+01,            3.858622e+01,        0.000000e+00,   3.733098e+04,     1.033625e+00,        3.849810e+00,   -3.891125e-01,  3.765925e+00,         2,1,    8.184794e+00,  1.106847e+00,      1.381718e+00,  1.260000e+00,0,             13,              2,                   5,                  11,   2.228507e+00,      2.228507e+00,  6.95884193e+01,   0.000000e+00,  1.010996e+00,  1.270790e+03, -4.601627e+04,     0.000000e+00,1,0,0
     1863224,  4079225196,          2.325670e+02,            2.258075e+02,        2.906493e-02,   2.386752e+04,     9.460872e+00,        4.611231e+00,    6.807018e-01,  1.171046e+00,         1,1,    1.269439e+01,  7.652534e+00,      2.768167e+00,  1.389318e+00,0,             13,              1,                   5,                   1,   4.027183e+00,      4.027183e+00,  1.87598447e+01,   0.000000e+00,  1.559352e+02,  6.807761e+03, -3.173056e+01,     0.000000e+00,1,0,1
     1870677,  4079225197,          4.073195e+02,            3.988027e+02,        2.090933e-02,   3.611414e+04,     1.104284e+01,        1.155346e+00,    7.115406e-01,  5.650657e+00,         1,1,    1.076511e+01,  1.001031e+01,      2.169947e+00,  1.277584e+00,0,             13,              1,                   5,                   1,   3.259492e+00,      3.259492e+00,  2.45768689e+01,   0.000000e+00,  2.265975e+02,  3.036094e+03, -1.218780e+01,     0.000000e+00,1,0,1
     2048448,  4079225206,          4.850214e+01,            4.850214e+01,        0.000000e+00,   3.339417e+04,     1.452413e+00,        2.624763e+00,    1.048250e+00,  4.530471e+00,         2,1,    1.656322e+00,  5.818949e+00,      1.381708e+00,  1.260000e+00,1,             13,              1,                   9,                   1,   1.381708e+00,      1.656322e+00,  4.43109693e+01,   0.000000e+00,  1.867156e+00,  1.277632e+03, -1.269225e+03,     0.000000e+00,0,1,1
     2054597,  4079225207,          2.914975e+02,            2.086074e+02,        2.843596e-01,   1.771924e+05,     1.177293e+00,        3.441572e-01,   -2.608477e-01,  5.370057e-01,         1,1,    6.680598e+00,  5.368744e+01,      4.815528e+00,  2.398548e+00,1,             13,              1,                   8,                   1,   4.815528e+00,      6.680598e+00,  6.31299890e+00,   0.000000e+00,  3.537065e+00,  3.664685e+02, -1.371437e+02,     0.000000e+00,0,1,1
     2108592,  4079225212,          6.753637e+02,            6.528571e+02,        3.332512e-02,   4.002334e+04,     1.631191e+01,        3.797398e+00,   -1.054711e+00,  5.560412e-01,         1,1,    1.310316e+01,  1.063184e+01,      2.893349e+00,  1.440949e+00,0,             13,              1,                   5,                   1,   4.194338e+00,      4.194338e+00,  1.78569975e+01,   0.000000e+00,  5.329492e+02,  2.824116e+03, -5.135162e+00,     0.000000e+00,1,0,1
     2113665,  4079225213,          2.659822e+02,            2.342335e+02,        1.193642e-01,   1.627957e+04,     1.438819e+01,        3.670984e+00,   -1.098029e+00,  3.229981e-01,         1,1,    1.664260e+01,  5.310837e+00,      4.062498e+00,  2.617507e+00,0,             13,              1,                   5,                   1,   5.700724e+00,      5.700724e+00,  1.26676357e+01,   0.000000e+00,  6.034028e+02,  1.578835e+04, -2.595018e+01,     0.000000e+00,1,0,1
     2118730,  4079225214,          4.748837e+02,            0.000000e+00,        1.000000e+00,   3.417304e+04,     0.000000e+00,        5.040150e+00,   -4.068801e-01,  4.453166e+00,         1,0,    4.180610e+01,  1.560169e+01,      1.456699e+01,  3.762549e+01,0,             14,              1,                   5,                   1,   1.859271e+01,      1.859271e+01,  5.26730168e+00,   0.000000e+00,  7.854277e-02,  9.369655e+03,  1.016830e+04,     7.294417e-01,1,0,0
     2118730,  4079225214,          3.762157e+02,            3.469325e+02,        7.783621e-02,   2.929160e+04,     1.184409e+01,        2.874318e+00,    7.374117e-01,  3.000943e+00,         1,1,    1.560169e+01,  3.762549e+01,      3.710010e+00,  2.086636e+00,0,             13,              2,                   5,                  14,   5.247249e+00,      5.247249e+00,  1.38328614e+01,   7.854277e-02,  1.519015e+02,  1.016830e+04, -7.212780e+01,     0.000000e+00,1,0,0
     2741332,  4079225220,          5.181107e+02,            0.000000e+00,        1.000000e+00,   2.400667e+05,     0.000000e+00,        3.182804e+00,    1.001487e+00,  1.679137e+00,         1,0,    1.896776e+01,  3.035411e+01,      1.433535e+01,  1.707099e+01,1,             14,              1,                   8,                   1,   1.433535e+01,      1.896776e+01,  4.73978481e+00,   0.000000e+00,  3.999520e-02,  1.631157e+02,  1.699114e+02,     5.909050e+00,0,1,0
     2741332,  4079225220,          3.868782e+02,            1.811356e+02,        5.318019e-01,   1.345442e+05,     1.346290e+00,        3.516459e+00,    7.029061e-01,  1.583641e+00,         1,1,    9.704548e+00,  1.707100e+01,      7.156051e+00,  5.234737e+00,1,             14,              2,                   8,                  14,   7.156051e+00,      9.704548e+00,  7.73115027e+00,   3.999520e-02,  1.843748e+00,  2.618062e+02, -2.224086e+02,     0.000000e+00,0,1,0
     2744585,  4079225221,          2.509895e+02,            1.391069e+02,        4.457659e-01,   1.122773e+05,     1.238958e+00,        4.539605e+00,   -3.728220e-01,  5.456523e+00,         1,1,    8.711411e+00,  1.427361e+01,      6.392141e+00,  4.193260e+00,1,             14,              1,                   8,                   1,   6.392141e+00,      8.711411e+00,  7.17028258e+00,   0.000000e+00,  3.746363e+00,  3.475206e+02, -1.120764e+02,     0.000000e+00,0,1,1
     2789517,  4079225223,          3.744214e+02,            1.876638e+02,        4.987898e-01,   1.877398e+04,     9.995952e+00,        6.959522e-01,   -1.039847e-01,  2.730039e+00,         1,1,    2.389172e+01,  1.355747e+01,      7.110584e+00,  1.135678e+01,0,             14,              1,                   5,                   1,   9.067044e+00,      9.067044e+00,  8.27890331e+00,   0.000000e+00,  1.108849e+02,  2.025115e+04, -1.655839e+02,     0.000000e+00,1,0,1
     2889557,  4079225225,          2.434012e+02,            2.064290e+02,        1.518980e-01,   8.072816e+04,     2.557088e+00,        1.607501e+00,   -6.644762e-01,  3.962907e+00,         1,1,    2.516673e+00,  8.920204e-01,      1.595497e+00,  1.277584e+00,1,             13,              2,                   8,                  11,   1.595497e+00,      2.516673e+00,  6.52345361e+01,   0.000000e+00,  4.880652e+00,  9.969142e+01, -1.801147e+01,     0.000000e+00,0,1,0
     2900630,  4079225226,          3.923909e+02,            3.791775e+02,        3.367407e-02,   3.092034e+04,     1.226304e+01,        5.130546e+00,   -8.263822e-02,  2.499793e+00,         1,1,    1.313419e+01,  9.288719e+00,      2.903745e+00,  1.445223e+00,0,             13,              1,                   5,                   1,   4.207085e+00,      4.207085e+00,  1.77922540e+01,   0.000000e+00,  2.114166e+02,  4.470162e+03, -1.635423e+01,     0.000000e+00,1,0,1
     2905523,  4079225227,          2.451296e+02,            0.000000e+00,        1.000000e+00,   1.442384e+05,     0.000000e+00,        3.204475e+00,    6.457692e-01,  3.988280e+00,         1,0,    1.709474e+01,  3.017441e+01,      1.289909e+01,  1.538527e+01,1,             14,              1,                   8,                   1,   1.289909e+01,      1.709474e+01,  4.95520520e+00,   0.000000e+00,  3.752165e-02,  4.330478e+02,  4.499299e+02,     3.454808e+00,0,1,0
     2905523,  4079225227,          5.229862e+02,            2.462270e+02,        5.291902e-01,   9.342824e+04,     2.635467e+00,        4.825094e+00,    3.151752e-01,  3.917937e+00,         1,1,    9.674809e+00,  1.538527e+01,      7.133331e+00,  5.201053e+00,1,             14,              2,                   8,                  14,   7.133331e+00,      9.674809e+00,  7.48821048e+00,   3.752165e-02,  2.423761e+00,  5.533678e+02, -1.642703e+02,     0.000000e+00,0,1,0
     2924806,  4079225230,          2.416337e+02,            2.353222e+02,        2.612008e-02,   1.437471e+04,     1.637057e+01,        5.160572e+00,   -1.541059e-01,  3.664762e+00,         1,1,    8.856943e+00,  7.636443e+00,      1.612410e+00,  1.277584e+00,0,             13,              1,                   5,                   1,   2.538101e+00,      2.538101e+00,  3.49008023e+01,   0.000000e+00,  3.798068e+02,  1.521358e+04, -3.427561e+01,     0.000000e+00,1,0,1
     2930635,  4079225231,          8.513680e+02,            7.343012e+02,        1.375044e-01,   5.087383e+04,     1.443377e+01,        3.789848e+00,    1.026703e+00,  4.256386e+00,         1,1,    2.654499e+00,  8.120211e+00,      1.702149e+00,  1.277584e+00,1,             13,              1,                   8,                   1,   1.702149e+00,      2.654499e+00,  2.25966936e+01,   0.000000e+00,  2.041662e+02,  7.934812e+02, -3.443037e+00,     0.000000e+00,0,1,1
     3260728,  4079225234,          5.179598e+01,            5.179598e+01,        0.000000e+00,   1.903068e+04,     2.721709e+00,        3.150901e-01,   -9.618441e-01,  4.639687e+00,         2,1,    7.837927e+00,  7.716335e+00,      1.381531e+00,  1.260000e+00,0,             13,              1,                   5,                   4,   2.170382e+00,      2.170382e+00,  4.42524719e+01,   0.000000e+00,  1.107977e+01,  8.185789e+03, -6.722330e+02,     0.000000e+00,1,0,1
     3268277,  4079225235,          4.572641e+02,            4.440209e+02,        2.896190e-02,   1.503202e+04,     2.953833e+01,        5.977024e+00,   -1.018482e+00,  1.200213e+00,         1,1,    8.105624e+00,  3.355198e+00,      1.402558e+00,  1.277584e+00,0,             13,              1,                   5,                   1,   2.265700e+00,      2.265700e+00,  4.13876385e+01,   0.000000e+00,  1.912393e+03,  9.667202e+03, -4.420884e+00,     0.000000e+00,1,0,1
     3304681,  4079225239,          3.078130e+02,            3.009480e+02,        2.230239e-02,   2.194330e+04,     1.371480e+01,        5.355701e-01,   -2.317519e-01,  4.349657e+00,         1,1,    1.016765e+01,  5.668432e+00,      1.993853e+00,  1.277584e+00,0,             13,              1,                   5,                   1,   3.029318e+00,      3.029318e+00,  2.71388284e+01,   0.000000e+00,  1.489648e+02,  6.268502e+03, -1.538210e+01,     0.000000e+00,1,0,1
     3313295,  4079225241,          3.081801e+02,            0.000000e+00,        1.000000e+00,   3.872331e+04,     0.000000e+00,        7.393353e-01,    5.310822e-01,  1.418823e-01,         1,0,    3.635810e+01,  1.548313e+01,      1.188074e+01,  3.272229e+01,0,             14,              1,                   5,                   1,   1.554225e+01,      1.554225e+01,  5.77264801e+00,   0.000000e+00,  7.542326e-02,  6.589469e+03,  7.127011e+03,     8.722906e-01,1,0,0
     3313295,  4079225241,          5.347640e+02,            4.957157e+02,        7.301966e-02,   3.537226e+04,     1.401425e+01,        4.439460e+00,    1.266370e-02,  3.798672e+00,         1,1,    1.548313e+01,  3.272229e+01,      3.668784e+00,  2.027378e+00,0,             13,              2,                   5,                  14,   5.196131e+00,      5.196131e+00,  1.39804469e+01,   7.542326e-02,  1.699730e+02,  7.127011e+03, -3.046721e+01,     0.000000e+00,1,0,0
     3331645,  4079225243,          7.442980e+01,            7.442980e+01,        0.000000e+00,   1.262574e+04,     5.895085e+00,        6.040851e+00,   -9.002642e-01,  5.213363e+00,         2,1,    6.482717e+00,  6.144374e+00,      1.380585e+00,  1.260000e+00,0,             13,              1,                   6,                   4,   1.380585e+00,      1.380585e+00,  6.67928609e+01,   0.000000e+00,  5.664156e+01,  1.509766e+04, -2.323767e+02,     0.000000e+00,1,0,1
     3341835,  4079225245,          3.032129e+02,            2.780490e+02,        8.299095e-02,   4.128213e+04,     6.735336e+00,        7.708524e-01,   -7.736998e-01,  3.462031e+00,         1,1,    1.573656e+01,  1.403989e+01,      3.754240e+00,  2.151071e+00,0,             13,              1,                   5,                   1,   5.305532e+00,      5.305532e+00,  1.36688994e+01,   0.000000e+00,  6.532949e+01,  3.330187e+03, -5.011632e+01,     0.000000e+00,1,0,1
     3353487,  4079225247,          1.721823e+02,            6.473785e+01,        6.240157e-01,   8.239142e+04,     7.857354e-01,        3.393223e-01,    1.504309e+00,  9.373279e-01,         1,0,    1.071991e+01,  2.550840e+01,      7.943748e+00,  6.494195e+00,1,             14,              1,                   8,                   1,   7.943748e+00,      1.071991e+01,  6.29342664e+00,   0.000000e+00,  9.010166e-01,  1.017195e+03,  1.026499e+04,     1.546526e+01,0,1,0
     3353487,  4079225247,          7.446917e+02,            4.712640e+02,        3.671690e-01,   1.765135e+04,     2.669846e+01,        3.022319e+00,   -1.038614e+00,  3.812571e+00,         1,1,    7.770757e+00,  6.494197e+00,      5.665400e+00,  3.308275e+00,1,             14,              2,                   8,                  14,   5.665400e+00,      7.770757e+00,  8.70720391e+00,   9.010166e-01,  1.881753e+02,  1.048107e+03, -8.739013e+00,     0.000000e+00,0,1,0
     3364197,  4079225249,          1.618247e+02,            1.164119e+02,        2.806295e-01,   3.052755e+06,     3.813340e-02,        3.063459e-01,    5.914278e-01,  4.307891e+00,         1,1,    1.912684e+00,  5.534171e+00,      1.912684e+00,  1.277584e+00,1,             13,              1,                   8,                   2,   1.912684e+00,      2.930714e+00,  1.96923261e+01,   0.000000e+00,  2.272309e+00,  4.669456e-01, -3.667772e-01,     0.000000e+00,0,1,1
     3368126,  4079225250,          2.280124e+02,            9.854863e+01,        5.677926e-01,   2.265924e+05,     4.349159e-01,        3.527584e+00,    9.653738e-01,  1.458686e+00,         1,0,    1.008409e+01,  4.466856e+01,      7.465740e+00,  5.697685e+00,1,             14,              1,                   8,                   1,   7.465740e+00,      1.008409e+01,  6.49493997e+00,   0.000000e+00,  4.087888e-01,  2.032518e+02,  3.141064e+02,     2.015769e+01,0,1,0
     3368126,  4079225250,          1.912422e+02,            9.008315e+01,        5.289578e-01,   1.159408e+06,     7.769755e-02,        1.758194e+00,    1.249499e-01,  5.106412e-01,         1,0,    6.947529e+00,  5.697978e+00,      6.947529e+00,  3.900968e+00,1,             14,              2,                   8,                  14,   6.947529e+00,      9.594544e+00,  7.55469723e+00,   0.000000e+00,  8.172998e-01,  2.168314e+00,  1.185173e+01,     2.885113e+02,0,1,0
